epoch,train_loss,train_acc,val_loss,val_acc
1,1.7559619512033025,0.1944954128440367,1.6798900824326735,0.2564102564102564
2,1.530307800616693,0.3577981651376147,1.6360370776592157,0.4230769230769231
3,1.3448858361725413,0.5944954128440367,1.6030611930749354,0.3076923076923077
4,1.3252345491986757,0.44403669724770645,1.6000705132117639,0.47435897435897434
5,1.2143727306925922,0.4091743119266055,1.6072630790563731,0.7307692307692307
6,1.2651515061702203,0.6018348623853211,1.5806905306302583,0.4358974358974359
7,1.0157912897407462,0.6844036697247706,1.5597630830911489,0.5384615384615384
8,1.0712342122279175,0.5688073394495413,1.5932476337139423,0.6666666666666666
9,0.9690510412968627,0.6385321100917432,1.6227981280057857,0.6153846153846154
10,0.9234174790732358,0.563302752293578,1.7197204492031,0.6794871794871795
11,1.0541051994769945,0.6972477064220184,1.6373209066880055,0.48717948717948717
12,0.8962760678125083,0.6055045871559633,1.72987857231727,0.6666666666666666
13,0.8313048644897041,0.634862385321101,1.6449552927261744,0.6153846153846154
14,0.8076925428635483,0.7027522935779816,1.7434536860539362,0.6153846153846154
15,0.8186957249947644,0.7504587155963303,1.7152153222988813,0.6025641025641025
