epoch,train_loss,train_acc,val_loss,val_acc
1,1.397818312549523,0.4764117226590422,1.5656099843978881,0.505
2,0.9406160520305797,0.7126518942101501,0.9794410562515259,0.755
3,0.9648668502934751,0.7548248749106504,0.8642526769638061,0.755
4,0.7689931922678098,0.7912794853466762,1.105836236476898,0.775
5,0.6873883559096277,0.8266619013581129,0.9107795321941375,0.785
6,0.7109003015890387,0.8291636883488206,1.0212640571594238,0.77
7,0.7420258494553351,0.8348820586132952,0.7804641723632812,0.82
8,0.6191420504880578,0.8566833452466047,0.6783673328161239,0.8
9,0.7060152911304831,0.8481057898498928,0.824711509346962,0.815
10,0.6547464530028302,0.8684774839170837,0.6883181536197662,0.845
11,0.5946960234914702,0.8695496783416726,0.7574895620346069,0.83
12,0.6389847195216636,0.858470335954253,1.07704350233078,0.795
13,0.47760256811752755,0.8788420300214439,0.8146913933753968,0.83
14,0.5865901404827982,0.8834882058613295,0.7358926296234131,0.82
15,0.36977389907521635,0.9010007147962831,0.5857042855024338,0.835
16,0.2644724143433349,0.9285203716940672,0.5787608730792999,0.86
17,0.21577121028203977,0.9417441029306648,0.7295768535137177,0.845
18,0.2219429097808711,0.9399571122230165,0.6411629259586334,0.86
19,0.199839990473018,0.9446032880629021,0.607121456861496,0.865
20,0.2074786922271983,0.9428162973552537,0.6306007200479508,0.88
