epoch,train_loss,train_acc,val_loss,val_acc
1,1.0736735665858699,0.3553299492385787,1.5970177816790203,0.16279069767441862
2,0.9016536782840787,0.5380710659898477,1.34415027984353,0.4418604651162791
3,0.7709118233719453,0.5888324873096447,1.5073940781659858,0.5348837209302325
4,0.7128889736185219,0.7461928934010152,1.5269335924192917,0.4883720930232558
5,0.6398686464062802,0.649746192893401,1.2292583460031554,0.4418604651162791
6,0.6388290028281624,0.7411167512690355,1.6572308096774788,0.5581395348837209
7,0.5904746787802218,0.7411167512690355,1.6684398983800135,0.4883720930232558
8,0.5643751563759625,0.7360406091370558,1.4457404946171961,0.4418604651162791
9,0.5206352072923922,0.7868020304568528,1.647283714871074,0.4883720930232558
10,0.5239236185393358,0.7461928934010152,1.2568621857221736,0.46511627906976744
11,0.5027931402177375,0.7614213197969543,1.625833511352539,0.4883720930232558
12,0.519895923924325,0.7969543147208121,1.8234709695328113,0.4883720930232558
13,0.5188059504262081,0.7868020304568528,1.3389899287112923,0.46511627906976744
14,0.46812446407860303,0.7208121827411168,1.4431044057358142,0.5116279069767442
15,0.4397384224809366,0.8223350253807107,1.5575333695079006,0.5581395348837209
